Area;MTU;Biomass - Actual Aggregated [MW];Energy storage - Actual Aggregated [MW];Fossil Brown coal/Lignite - Actual Aggregated [MW];Fossil Coal-derived gas - Actual Aggregated [MW];Fossil Gas - Actual Aggregated [MW];Fossil Hard coal - Actual Aggregated [MW];Fossil Oil - Actual Aggregated [MW];Fossil Oil shale - Actual Aggregated [MW];Fossil Peat - Actual Aggregated [MW];Geothermal - Actual Aggregated [MW];Hydro Pumped Storage - Actual Aggregated [MW];Hydro Pumped Storage - Actual Consumption [MW];Hydro Run-of-river and poundage - Actual Aggregated [MW];Hydro Water Reservoir - Actual Aggregated [MW];Marine - Actual Aggregated [MW];Nuclear - Actual Aggregated [MW];Other - Actual Aggregated [MW];Other renewable - Actual Aggregated [MW];Solar - Actual Aggregated [MW];Waste - Actual Aggregated [MW];Wind Offshore - Actual Aggregated [MW];Wind Onshore - Actual Aggregated [MW]
BZN|NO1;03.03.2025 15:00 - 03.03.2025 16:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1382;1027;n/e;n/e;n/e;n/e;2;1;n/e;315
BZN|NO1;03.03.2025 16:00 - 03.03.2025 17:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1386;989;n/e;n/e;n/e;n/e;1;1;n/e;311
BZN|NO1;03.03.2025 17:00 - 03.03.2025 18:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1387;998;n/e;n/e;n/e;n/e;0;1;n/e;325
BZN|NO1;03.03.2025 18:00 - 03.03.2025 19:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1378;1077;n/e;n/e;n/e;n/e;0;1;n/e;327
BZN|NO1;03.03.2025 19:00 - 03.03.2025 20:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1378;1031;n/e;n/e;n/e;n/e;0;2;n/e;343
BZN|NO1;03.03.2025 20:00 - 03.03.2025 21:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1381;983;n/e;n/e;n/e;n/e;0;2;n/e;362
BZN|NO1;03.03.2025 21:00 - 03.03.2025 22:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1371;981;n/e;n/e;n/e;n/e;0;2;n/e;354
BZN|NO1;03.03.2025 22:00 - 03.03.2025 23:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1362;931;n/e;n/e;n/e;n/e;0;2;n/e;315
BZN|NO1;03.03.2025 23:00 - 04.03.2025 00:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1366;943;n/e;n/e;n/e;n/e;0;2;n/e;267
BZN|NO1;04.03.2025 00:00 - 04.03.2025 01:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1364;920;n/e;n/e;n/e;n/e;0;3;n/e;283
BZN|NO1;04.03.2025 01:00 - 04.03.2025 02:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1364;891;n/e;n/e;n/e;n/e;0;4;n/e;304
BZN|NO1;04.03.2025 02:00 - 04.03.2025 03:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1342;788;n/e;n/e;n/e;n/e;0;5;n/e;297
BZN|NO1;04.03.2025 03:00 - 04.03.2025 04:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1333;734;n/e;n/e;n/e;n/e;0;5;n/e;312
BZN|NO1;04.03.2025 04:00 - 04.03.2025 05:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1352;706;n/e;n/e;n/e;n/e;0;4;n/e;294
BZN|NO1;04.03.2025 05:00 - 04.03.2025 06:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1356;836;n/e;n/e;n/e;n/e;0;4;n/e;351
BZN|NO1;04.03.2025 06:00 - 04.03.2025 07:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1371;928;n/e;n/e;n/e;n/e;0;4;n/e;346
BZN|NO1;04.03.2025 07:00 - 04.03.2025 08:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1369;1043;n/e;n/e;n/e;n/e;0;2;n/e;340
BZN|NO1;04.03.2025 08:00 - 04.03.2025 09:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1359;966;n/e;n/e;n/e;n/e;1;1;n/e;279
BZN|NO1;04.03.2025 09:00 - 04.03.2025 10:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1354;956;n/e;n/e;n/e;n/e;3;2;n/e;251
BZN|NO1;04.03.2025 10:00 - 04.03.2025 11:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1354;862;n/e;n/e;n/e;n/e;4;2;n/e;244
BZN|NO1;04.03.2025 11:00 - 04.03.2025 12:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1320;854;n/e;n/e;n/e;n/e;4;1;n/e;254
BZN|NO1;04.03.2025 12:00 - 04.03.2025 13:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1325;743;n/e;n/e;n/e;n/e;4;2;n/e;208
BZN|NO1;04.03.2025 13:00 - 04.03.2025 14:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1339;686;n/e;n/e;n/e;n/e;4;3;n/e;232
BZN|NO1;04.03.2025 14:00 - 04.03.2025 15:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1339;839;n/e;n/e;n/e;n/e;3;2;n/e;291
BZN|NO1;04.03.2025 15:00 - 04.03.2025 16:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1349;953;n/e;n/e;n/e;n/e;2;1;n/e;317
BZN|NO1;04.03.2025 16:00 - 04.03.2025 17:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1358;945;n/e;n/e;n/e;n/e;1;1;n/e;333
BZN|NO1;04.03.2025 17:00 - 04.03.2025 18:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1365;987;n/e;n/e;n/e;n/e;0;1;n/e;369
BZN|NO1;04.03.2025 18:00 - 04.03.2025 19:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1366;918;n/e;n/e;n/e;n/e;0;1;n/e;376
BZN|NO1;04.03.2025 19:00 - 04.03.2025 20:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1372;952;n/e;n/e;n/e;n/e;0;1;n/e;374
BZN|NO1;04.03.2025 20:00 - 04.03.2025 21:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1367;889;n/e;n/e;n/e;n/e;0;1;n/e;370
BZN|NO1;04.03.2025 21:00 - 04.03.2025 22:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1375;862;n/e;n/e;n/e;n/e;0;1;n/e;361
BZN|NO1;04.03.2025 22:00 - 04.03.2025 23:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1359;764;n/e;n/e;n/e;n/e;0;1;n/e;362
BZN|NO1;04.03.2025 23:00 - 05.03.2025 00:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1351;761;n/e;n/e;n/e;n/e;0;2;n/e;357
BZN|NO1;05.03.2025 00:00 - 05.03.2025 01:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1344;664;n/e;n/e;n/e;n/e;0;2;n/e;371
BZN|NO1;05.03.2025 01:00 - 05.03.2025 02:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1335;613;n/e;n/e;n/e;n/e;0;4;n/e;360
BZN|NO1;05.03.2025 02:00 - 05.03.2025 03:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1343;659;n/e;n/e;n/e;n/e;0;5;n/e;361
BZN|NO1;05.03.2025 03:00 - 05.03.2025 04:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1336;635;n/e;n/e;n/e;n/e;0;6;n/e;340
BZN|NO1;05.03.2025 04:00 - 05.03.2025 05:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1336;634;n/e;n/e;n/e;n/e;0;5;n/e;322
BZN|NO1;05.03.2025 05:00 - 05.03.2025 06:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1343;700;n/e;n/e;n/e;n/e;0;5;n/e;322
BZN|NO1;05.03.2025 06:00 - 05.03.2025 07:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1350;778;n/e;n/e;n/e;n/e;0;4;n/e;331
BZN|NO1;05.03.2025 07:00 - 05.03.2025 08:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1348;861;n/e;n/e;n/e;n/e;0;2;n/e;306
BZN|NO1;05.03.2025 08:00 - 05.03.2025 09:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1350;865;n/e;n/e;n/e;n/e;1;1;n/e;325
BZN|NO1;05.03.2025 09:00 - 05.03.2025 10:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1350;682;n/e;n/e;n/e;n/e;2;3;n/e;336
BZN|NO1;05.03.2025 10:00 - 05.03.2025 11:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1353;724;n/e;n/e;n/e;n/e;3;3;n/e;339
BZN|NO1;05.03.2025 11:00 - 05.03.2025 12:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1349;650;n/e;n/e;n/e;n/e;4;4;n/e;323
BZN|NO1;05.03.2025 12:00 - 05.03.2025 13:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1347;579;n/e;n/e;n/e;n/e;4;4;n/e;343
