timestamp,BZN|NO1 > BZN|NO1A [MW],BZN|NO1 > BZN|NO2 [MW],BZN|NO1 > BZN|NO3 [MW],BZN|NO1 > BZN|NO5 [MW],BZN|NO1 > BZN|SE3 [MW],BZN|NO1A > BZN|NO1 [MW],BZN|NO2 > BZN|NO1 [MW],BZN|NO3 > BZN|NO1 [MW],BZN|NO5 > BZN|NO1 [MW],BZN|SE3 > BZN|NO1 [MW]
02.03.2025 08:45 - 02.03.2025 09:00,0.0,1427.0,0.0,0.0,0.0,0.0,0.0,319.0,1228.0,0.0
02.03.2025 09:00 - 02.03.2025 09:15,0.0,1424.0,0.0,0.0,0.0,0.0,0.0,289.0,1268.0,0.0
02.03.2025 09:00 - 02.03.2025 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.0
02.03.2025 09:15 - 02.03.2025 09:30,0.0,1502.0,0.0,0.0,0.0,0.0,0.0,281.0,1296.0,0.0
02.03.2025 09:30 - 02.03.2025 09:45,0.0,1569.0,0.0,0.0,0.0,0.0,0.0,295.0,1272.0,0.0
02.03.2025 09:45 - 02.03.2025 10:00,0.0,1558.0,0.0,0.0,0.0,0.0,0.0,288.0,1237.0,0.0
02.03.2025 10:00 - 02.03.2025 10:15,0.0,1508.0,0.0,0.0,0.0,0.0,0.0,297.0,1335.0,0.0
02.03.2025 10:00 - 02.03.2025 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
02.03.2025 10:15 - 02.03.2025 10:30,0.0,1514.0,0.0,0.0,0.0,0.0,0.0,289.0,1341.0,0.0
02.03.2025 10:30 - 02.03.2025 10:45,0.0,1558.0,0.0,0.0,0.0,0.0,0.0,284.0,1325.0,0.0
02.03.2025 10:45 - 02.03.2025 11:00,0.0,1522.0,0.0,0.0,0.0,0.0,0.0,284.0,1178.0,0.0
02.03.2025 11:00 - 02.03.2025 11:15,0.0,1315.0,0.0,0.0,0.0,0.0,0.0,267.0,1108.0,0.0
02.03.2025 11:00 - 02.03.2025 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.0
02.03.2025 11:15 - 02.03.2025 11:30,0.0,1324.0,0.0,0.0,0.0,0.0,0.0,285.0,1046.0,0.0
02.03.2025 11:30 - 02.03.2025 11:45,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,272.0,1048.0,0.0
02.03.2025 11:45 - 02.03.2025 12:00,0.0,1304.0,0.0,0.0,0.0,0.0,0.0,272.0,1024.0,0.0
02.03.2025 12:00 - 02.03.2025 12:15,0.0,1211.0,0.0,0.0,0.0,0.0,0.0,289.0,1034.0,0.0
02.03.2025 12:00 - 02.03.2025 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.0
02.03.2025 12:15 - 02.03.2025 12:30,0.0,1264.0,0.0,0.0,0.0,0.0,0.0,314.0,964.0,0.0
02.03.2025 12:30 - 02.03.2025 12:45,0.0,1267.0,0.0,0.0,0.0,0.0,0.0,302.0,957.0,0.0
02.03.2025 12:45 - 02.03.2025 13:00,0.0,1217.0,0.0,0.0,0.0,0.0,0.0,297.0,927.0,0.0
02.03.2025 13:00 - 02.03.2025 13:15,0.0,793.0,0.0,0.0,0.0,0.0,0.0,279.0,778.0,0.0
02.03.2025 13:00 - 02.03.2025 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0
02.03.2025 13:15 - 02.03.2025 13:30,0.0,777.0,0.0,0.0,0.0,0.0,0.0,289.0,687.0,0.0
02.03.2025 13:30 - 02.03.2025 13:45,0.0,778.0,0.0,0.0,0.0,0.0,0.0,283.0,678.0,0.0
02.03.2025 13:45 - 02.03.2025 14:00,0.0,751.0,0.0,0.0,0.0,0.0,0.0,281.0,739.0,0.0
02.03.2025 14:00 - 02.03.2025 14:15,0.0,875.0,0.0,0.0,0.0,0.0,0.0,291.0,896.0,0.0
02.03.2025 14:00 - 02.03.2025 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756.0
02.03.2025 14:15 - 02.03.2025 14:30,0.0,883.0,0.0,0.0,0.0,0.0,0.0,279.0,956.0,0.0
02.03.2025 14:30 - 02.03.2025 14:45,0.0,843.0,0.0,0.0,0.0,0.0,0.0,280.0,1008.0,0.0
02.03.2025 14:45 - 02.03.2025 15:00,0.0,854.0,0.0,0.0,0.0,0.0,0.0,289.0,1169.0,0.0
02.03.2025 15:00 - 02.03.2025 15:15,0.0,1292.0,0.0,0.0,0.0,0.0,0.0,309.0,1349.0,0.0
02.03.2025 15:00 - 02.03.2025 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.0
02.03.2025 15:15 - 02.03.2025 15:30,0.0,1416.0,0.0,0.0,0.0,0.0,0.0,347.0,1362.0,0.0
02.03.2025 15:30 - 02.03.2025 15:45,0.0,1514.0,0.0,0.0,0.0,0.0,0.0,387.0,1306.0,0.0
02.03.2025 15:45 - 02.03.2025 16:00,0.0,1321.0,0.0,0.0,0.0,0.0,0.0,380.0,1369.0,0.0
02.03.2025 16:00 - 02.03.2025 16:15,0.0,1604.0,0.0,0.0,0.0,0.0,0.0,407.0,1500.0,0.0
02.03.2025 16:00 - 02.03.2025 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0
02.03.2025 16:15 - 02.03.2025 16:30,0.0,1757.0,0.0,0.0,0.0,0.0,0.0,415.0,1520.0,0.0
02.03.2025 16:30 - 02.03.2025 16:45,0.0,1730.0,0.0,0.0,0.0,0.0,0.0,407.0,1568.0,0.0
