EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
11X0-0000-0210-W;WUNDERWERK;Elektrizitätswerke Düsseldorf GmbH;;;Active;;;DE313808773;Balance Responsible Party;X
11X0-0000-0238-0;CONVEX;Convex Energy GmbH;;;Active;;;DE312654641;Balance Responsible Party;X
11X0-0000-0253-7;SWHERNE-EEG-VER;Stadtwerke Herne AG;;;Active;;;DE811336593;Balance Responsible Party;X
11X0-0000-0280-4;GDE_WERKE_OHA;Gemeindewerke Oberhaching GmbH;;;Active;;;DE253181212;Balance Responsible Party;X
11X0-0000-0289-E;BADSAULGAU;Stadtwerke Bad Saulgau;;;Active;;;DE146608601;Balance Responsible Party;X
11X0-0000-0291-Y;KALLE_GMBH;Kalle GmbH;;;Active;;;DE266802799;Balance Responsible Party;X
11X0-0000-0298-D;MENGEN;Stadtwerke Mengen;;;Active;;;DE146609934;Balance Responsible Party;X
11X0-0000-0334-7;11XPEL;PreussenElektra GmbH;;;Active;;;DE192205356;Producer;X
11X0-0000-0343-6;CET001;BayWa r.e. Energy Trading GmbH;;;Active;;;DE815730334;Balance Responsible Party;X
11X0-0000-0351-8;COULOMB;Coulomb GmbH;;;Active;;;DE298246493;Storage System Operator;X
11X0-0000-0352-5;WINDKRAFTMINING;Windströöm GmbH;;;Active;;;DE315021801;Balance Responsible Party;X
11X0-0000-0353-2;ANE-MPM;ANE GmbH & Co. KG;;;Active;;;DE313986634;Balance Responsible Party;X
11X0-0000-0359-L;MPM-KWR;naturenergie hochrhein AG;;;Active;;;DE142378929;Balance Responsible Party;X
11X0-0000-0373-V;11XAOKWKF-EWEN-;11XAOKWKF-EWEN-;;;Active;;;DE814696578;Balance Responsible Party;X
11X0-0000-0381-X;11X-EEM;Mer Germany GmbH;;;Active;;;DE298490066;Balance Responsible Party;X
11X0-0000-0393-N;OPTIMAXBG;Optimax Energia eood;;;Active;;;BG203733789;Balance Responsible Party;X
11X0-0000-0401-N;TMH;The Mobility House GmbH;;;Active;;;DE280860814;Balance Responsible Party;X
11X0-0000-0406-8;PEP;Ponte Energy Partners GmbH;;;Active;;;DE313665549;Balance Responsible Party;X
11X0-0000-0423-9;ENGEL;engel Energie GmbH;;;Active;;;DE283995907;Balance Responsible Party;X
11X0-0000-0427-Y;AWATTAR_N;aWATTar Deutschland GmbH;;;Active;;;DE319522894;Balance Responsible Party;X
11X0-0000-0432-8;KIGC;KlimaInvest Green Concepts GmbH;;;Active;;;DE269768180;Balance Responsible Party;X
11X0-0000-0437-U;UEWL;Überlandwerk Leinetal G m b H;;;Active;;;DE114727189;Balance Responsible Party;X
11X0-0000-0440-A;CGME;Citigroup Global Markets Europe AG;;;Active;;;DE811285276;Balance Responsible Party;X
11X0-0000-0456-P;SWLUEBBEN;Stadt- und Überlandwerke GmbH Lübben;;;Active;;;DE138859601;Balance Responsible Party;X
11X0-0000-0479-8;WEBWINDENERGIE;WEB Windenergie Deutschland GmbH;;;Active;;;DE211152930;Balance Responsible Party;X
